hhnum,0.25 mi,0.50 mi,1.0 mi,2.0 mi,5.0 mi,10.0 mi,15.0 mi,30.0 mi,0.25 mi_ff,0.50 mi_ff,1.0 mi_ff,2.0 mi_ff,5.0 mi_ff,10.0 mi_ff,15.0 mi_ff,30.0 mi_ff,nearsnap_dist,nearsnap_stype,nearff_dist,inchhavg_r
110179,0,3,12,46,239,737,1408,2693,1,6,43,74,215,587,1278,1478,0.46,CO,0.19,1000.0
110189,1,3,22,62,167,440,1197,4315,0,0,2,11,83,299,500,552,0.23,LG,0.89,3346.0
110190,0,0,1,2,17,57,117,668,0,0,0,0,16,45,68,80,0.88,SS,2.04,2166.67
110193,0,2,13,66,294,976,2438,7519,0,1,4,33,180,189,278,1360,0.26,CS,0.42,4480.0
110196,0,4,24,63,171,433,1171,4314,0,0,2,5,86,294,495,552,0.33,LG,0.78,2475.18515836709
110205,4,4,6,37,267,1334,3079,4403,2,4,5,29,145,273,421,548,0.02,CS,0.05,4221.0
110207,0,4,6,22,85,300,495,3966,0,1,2,16,54,164,308,552,0.3,CS,0.47,1680.0
110212,2,2,7,18,86,96,99,108,6,8,9,17,71,89,89,90,0.11,CS,0.06,1231.62868036085
110218,1,1,8,14,139,407,649,858,2,4,12,28,133,322,460,553,0.15,CO,0.12,1040.0
110228,0,2,3,10,27,88,97,121,1,2,2,8,18,18,18,19,0.41,CS,0.16,1300.0
110229,0,1,4,5,5,11,18,291,0,2,4,7,7,9,14,21,0.42,CS,0.29,3933.33
110244,0,0,0,0,1,10,43,135,0,0,0,0,0,4,20,35,3.26,CS,7.15,3400.0
110245,0,0,0,0,1,34,100,591,0,0,0,0,0,28,61,79,4.38,CS,5.28,2262.0
110251,9,23,60,166,254,307,465,1513,2,4,8,31,93,122,174,288,0.1,SG,0.16,138.0
110252,0,2,7,44,221,651,1013,2361,0,1,4,33,160,435,661,736,0.46,SM,0.46,480.114016799574
110253,0,0,1,7,58,231,326,361,0,0,0,16,49,68,75,81,0.89,CO,1.0,5879.0
110257,0,1,8,18,34,34,38,205,0,1,5,19,28,28,29,45,0.39,CS,0.42,4010.5
110258,0,0,0,2,15,19,26,84,0,0,0,2,11,13,13,24,1.9,ME,1.89,3850.0
110265,2,4,4,7,51,118,341,1207,0,1,1,4,14,15,24,99,0.12,CO,0.36,4500.0
110268,0,3,5,21,38,42,53,376,0,7,13,34,50,52,57,57,0.4,SM,0.4,698.0
110270,1,4,9,10,11,12,16,63,0,0,5,5,5,5,5,19,0.16,CS,0.69,5460.0
110275,1,5,38,110,460,727,917,1048,0,0,13,21,98,241,324,345,0.09,CS,0.54,2510.0
110281,0,0,0,6,51,259,512,776,0,0,0,0,0,34,62,80,1.19,CO,5.55,1400.0
110283,0,0,3,6,6,7,46,117,0,0,0,3,3,3,22,31,0.9,CS,1.05,840.0
110285,0,0,1,8,25,198,461,776,0,0,0,0,0,34,60,80,0.76,CO,5.76,1512.0
110287,7,12,25,72,226,458,575,910,8,13,20,35,161,340,456,599,0.04,SM,0.03,2250.0
110289,0,0,0,1,10,22,22,66,0,0,0,0,8,10,10,10,1.74,CS,3.27,1444.0
110295,0,0,0,3,12,36,108,1119,0,0,0,14,17,38,119,794,1.47,CS,1.47,6720.0
110297,0,0,0,3,12,38,104,1127,0,0,0,14,18,41,119,791,1.55,CO,1.61,887.5
110300,10,24,72,172,253,310,466,1512,3,6,11,29,92,122,172,288,0.03,SM,0.07,3518.662
110301,0,0,2,4,8,28,48,271,0,0,0,0,1,8,15,32,0.66,CS,4.97,1700.0
110306,1,3,4,10,10,87,202,894,1,2,3,5,5,71,110,130,0.08,CO,0.13,3987.0
110308,0,1,9,54,311,777,1272,5102,0,1,12,49,228,367,505,1167,0.35,CS,0.34,10250.0
110311,2,7,17,54,240,835,1634,6191,2,9,21,58,233,752,856,1057,0.19,SM,0.19,3000.0
110329,0,2,12,91,436,755,919,1065,0,0,2,35,114,254,311,345,0.27,CS,0.58,7366.67
110332,0,1,3,7,74,246,433,694,0,0,0,0,1,1,2,3,0.36,SG,3.96,700.0
110336,0,0,0,3,88,169,607,2597,0,0,0,4,88,121,171,215,1.17,SM,1.15,8000.0
110339,0,0,3,3,110,445,880,1751,0,0,0,2,69,190,196,196,0.57,CS,1.08,2156.54454009559
110342,0,1,16,60,285,967,2422,7522,0,0,9,30,183,188,276,1349,0.48,CS,0.62,2569.73544633414
110343,2,2,13,45,151,280,322,420,1,1,8,30,100,190,217,221,0.16,CS,0.23,488.75
110347,0,0,0,0,4,62,91,353,0,0,0,0,0,0,6,45,4.0,MG,12.72,1120.0
110349,0,1,1,5,32,53,105,239,0,0,0,2,8,9,16,49,0.47,CS,1.9,2800.0
110355,0,0,1,4,9,101,221,475,0,0,0,2,2,84,128,148,0.92,CO,1.53,3760.0
110358,1,2,6,34,62,90,123,271,2,4,7,12,33,44,51,53,0.19,CS,0.19,4550.0
110360,0,0,2,7,34,35,58,204,0,0,0,1,28,29,29,45,0.89,CS,1.92,6240.0
110362,3,5,7,16,28,72,266,588,1,3,4,7,20,24,29,69,0.24,CO,0.25,6090.89127401641
110367,0,0,0,2,46,80,122,401,0,0,0,2,35,56,80,212,1.93,CO,1.64,1873.78422261268
110370,2,4,13,33,41,43,60,103,1,1,3,13,13,13,15,21,0.09,CS,0.1,2441.67
110373,1,2,18,55,190,970,1855,2920,0,0,4,23,169,433,704,869,0.06,CS,0.63,700.0
110374,0,7,16,66,264,544,652,1333,0,5,12,46,169,449,545,640,0.25,SM,0.26,3616.88612099458
110375,0,1,4,5,5,11,18,292,1,2,3,7,7,9,14,21,0.44,CO,0.2,4410.0
110376,1,1,10,57,322,780,1295,5110,1,1,10,52,236,368,516,1167,0.21,CS,0.2,452.236924762526
110380,23,82,276,813,3812,9198,11774,14997,0,5,14,30,235,419,428,428,0.05,SG,0.37,3180.0
110383,0,2,4,30,91,225,559,2436,2,6,12,47,159,349,660,1057,0.33,SM,0.02,5740.0
110390,1,4,9,10,11,12,16,63,0,0,5,5,5,5,5,19,0.14,CS,0.75,698.0
110397,0,0,0,20,152,567,1009,1785,0,0,0,17,61,157,196,196,1.05,CO,1.03,1175.0
110399,2,4,12,14,16,17,18,60,0,5,10,10,10,10,10,25,0.1,SS,0.43,6252.4
110401,0,4,21,64,170,436,1186,4317,0,0,2,9,85,296,498,552,0.34,LG,0.93,7754.13623194753
110411,11,30,184,592,2872,9350,12099,15007,0,1,22,102,242,411,428,428,0.03,SM,0.33,1083.33
110417,1,3,15,52,246,633,1100,2079,0,3,12,33,181,563,949,1647,0.08,CS,0.46,3561.01010963298
110419,0,1,10,18,70,189,217,518,0,0,7,24,54,118,124,137,0.48,CO,0.69,3912.53
110422,0,3,4,23,177,568,1761,4433,0,1,1,16,90,135,159,186,0.33,SM,0.38,21333.33
110423,2,3,21,26,42,49,54,104,0,0,9,10,13,14,14,21,0.2,CS,0.6,2879.6
110435,0,8,17,39,68,138,212,361,3,7,15,36,56,134,167,212,0.26,CO,0.14,5451.0
110439,0,0,3,3,32,185,662,1495,0,0,2,2,19,61,115,130,0.56,CS,0.59,7000.0
110442,0,0,0,0,71,295,652,1029,0,0,0,0,43,168,406,439,2.03,SS,2.03,11223.338
110443,0,0,0,0,9,23,45,198,0,0,0,0,7,10,10,18,2.97,CO,2.97,4265.4883180285
110445,0,0,6,6,16,97,197,3028,0,0,6,6,17,52,68,197,0.66,SS,0.66,7534.7340526136
110446,2,4,10,41,96,183,246,1102,0,0,4,24,54,108,125,130,0.05,CS,0.61,1056.9
110448,0,6,9,21,29,82,278,589,0,4,4,15,20,24,33,69,0.28,CO,0.3,3600.0
110454,0,0,0,4,24,161,543,4387,0,0,0,6,22,79,165,199,1.53,SM,1.32,15288.0
110456,1,4,4,6,51,121,352,1208,0,1,1,3,14,15,25,100,0.23,CO,0.44,859.0
110458,0,0,0,2,19,111,330,2748,0,0,0,1,10,50,156,552,1.73,CS,1.77,500.347974127258
110461,0,0,0,0,0,17,93,598,0,0,0,0,0,9,45,79,6.5,CS,7.44,2789.6623976223
110462,0,0,0,0,0,8,123,373,0,0,0,0,0,6,6,96,6.0,SS,5.97,13303.33
110468,1,3,12,21,32,33,35,37,1,4,13,19,19,19,19,19,0.25,CO,0.22,1400.0
110472,0,5,8,23,249,420,686,4180,0,7,8,11,42,92,137,185,0.25,SE,0.25,4200.0
110475,2,2,5,5,5,11,17,294,0,4,7,7,7,9,14,21,0.12,CS,0.3,2950.0
110476,4,6,8,24,248,419,681,4178,6,8,8,11,41,92,137,185,0.04,SE,0.04,6683.33
110478,4,15,44,113,401,968,2117,5773,0,2,15,53,243,471,900,1363,0.14,BB,0.46,5085.92466122076
110479,0,0,0,2,35,219,587,1596,0,0,0,1,18,81,125,130,1.72,CO,1.89,5780.0
110481,8,30,122,313,1885,8591,12972,15034,2,5,21,45,129,178,180,180,0.15,SG,0.09,11200.0
110485,0,0,0,3,88,170,607,2596,0,0,0,4,86,121,171,215,1.18,SM,1.16,2800.0
110486,0,0,0,0,1,4,6,32,0,0,0,0,0,0,0,10,3.96,CS,16.99,3244.5
110487,1,2,7,17,85,96,99,108,4,8,8,17,70,89,89,90,0.22,CS,0.09,1092.0
110490,0,0,0,1,16,46,191,428,0,0,0,0,11,30,109,148,1.92,CS,2.37,5193.40898330215
110494,1,6,8,21,29,78,278,589,3,3,4,13,20,24,33,69,0.14,CO,0.14,2426.662
