hhnum,0.25 mi,0.50 mi,1.0 mi,2.0 mi,5.0 mi,10.0 mi,15.0 mi,30.0 mi,0.25 mi_ff,0.50 mi_ff,1.0 mi_ff,2.0 mi_ff,5.0 mi_ff,10.0 mi_ff,15.0 mi_ff,30.0 mi_ff,nearsnap_dist,nearsnap_stype,nearff_dist
101024,1,4,7,11,11,12,16,63,0,0,2,5,5,5,5,19,0.13,CS,0.82
101031,6,23,80,189,338,1076,2611,6544,3,17,24,39,159,287,298,1242,0.03,SG,0.2
101036,0,0,0,2,18,69,100,431,0,0,0,0,9,30,53,209,1.87,SG,3.32
101046,1,1,8,18,63,146,382,2481,2,3,8,19,56,108,181,288,0.17,CO,0.11
101050,3,12,47,165,932,2272,3200,4942,0,0,10,54,282,789,946,1091,0.16,SG,0.55
101056,4,4,11,25,75,90,94,170,1,1,8,20,47,56,56,56,0.18,SG,0.12
101057,0,0,0,1,5,41,98,196,0,0,0,0,1,45,67,78,1.57,MG,4.14
101061,0,0,9,52,228,737,1423,2700,0,1,14,84,223,603,1310,1478,0.52,CS,0.49
101062,5,13,38,99,163,465,1298,2298,1,1,6,24,71,84,117,293,0.05,CS,0.11
101063,0,1,3,9,27,88,98,121,0,1,2,10,18,18,18,19,0.47,SS,0.3
101078,3,7,11,33,41,43,60,103,0,1,4,11,13,13,15,21,0.16,CO,0.44
101081,0,1,4,35,86,282,312,429,0,0,3,25,58,191,201,221,0.41,SG,0.62
101083,1,3,12,41,123,153,160,219,0,3,17,29,98,122,125,131,0.25,CS,0.43
101088,0,0,2,9,64,231,319,366,0,0,0,15,35,63,68,81,0.52,SS,1.62
101090,0,0,0,3,32,40,47,259,0,0,1,9,45,50,57,57,1.02,SS,0.95
101094,0,1,11,36,257,823,1230,1992,0,0,9,38,192,572,917,1608,0.5,SM,0.51
101095,3,6,21,50,105,281,566,1611,2,4,6,18,58,147,196,196,0.13,CS,0.11
101104,0,0,0,3,5,29,58,222,0,0,2,7,7,23,24,44,1.36,CS,0.94
101105,0,0,1,1,6,14,46,335,0,0,0,0,1,1,5,18,0.98,CS,2.41
101109,0,0,0,4,10,102,220,476,0,0,0,2,6,84,128,148,1.05,CO,1.65
101112,1,5,19,41,64,89,124,290,0,0,4,13,37,44,52,53,0.2,CS,0.69
101113,0,0,0,3,26,49,108,250,0,0,0,0,8,9,17,53,1.04,CS,2.39
101115,0,0,3,15,20,92,275,678,0,0,3,12,12,24,43,53,0.53,SS,0.58
101125,0,0,1,7,63,239,326,361,0,0,1,14,50,68,75,81,0.79,CO,0.89
101129,2,2,7,18,85,96,99,108,5,8,9,17,71,89,89,90,0.13,CS,0.07
101130,0,0,0,0,1,13,91,993,0,0,0,0,1,7,44,352,4.36,CS,4.4
101134,6,23,58,135,602,1669,2573,4518,2,4,12,53,254,538,823,1047,0.11,SG,0.12
101137,0,0,5,29,91,96,99,108,1,2,3,25,88,89,89,90,0.65,CS,0.05
101141,1,1,3,20,99,154,160,227,0,0,0,6,78,123,124,131,0.08,CS,1.7
101148,0,0,2,5,30,63,80,284,0,0,0,0,17,27,29,31,0.79,CS,2.38
101151,0,4,8,20,117,231,551,1596,0,1,8,22,66,95,196,196,0.26,CS,0.33
101152,2,15,24,69,240,480,597,914,0,5,6,41,162,360,488,589,0.14,CS,0.33
101154,0,0,10,28,84,167,293,1723,0,0,7,22,67,125,228,352,0.58,CS,0.57
101175,0,2,6,34,62,90,123,275,0,4,7,12,34,44,51,53,0.31,CS,0.31
101176,7,16,79,163,664,3522,6060,14726,0,1,3,19,58,131,156,195,0.0,SG,0.29
101180,1,1,3,20,99,154,160,227,0,0,0,6,78,123,124,131,0.06,CS,1.72
101187,0,8,17,36,84,162,280,1745,0,7,19,25,67,125,218,352,0.32,SG,0.32
101193,2,6,16,80,476,960,1172,1806,2,2,4,29,120,397,531,573,0.19,CS,0.13
101195,0,0,1,17,35,56,78,264,0,0,0,6,14,29,29,31,0.98,CO,1.55
101196,0,1,6,21,137,464,971,1810,0,0,1,7,41,105,187,196,0.44,BB,0.99
101203,6,10,22,67,295,791,1410,2952,2,4,11,33,138,282,465,869,0.02,CS,0.15
101204,0,0,1,4,13,91,259,1161,0,0,0,0,4,53,88,110,0.67,MG,2.03
101210,0,1,7,14,15,19,44,207,0,1,2,10,10,10,10,22,0.28,CS,0.36
101218,1,3,12,45,92,96,99,109,0,0,3,26,89,89,89,90,0.24,CS,0.76
101219,1,4,12,41,200,589,1055,2174,0,4,10,18,172,502,838,1472,0.24,BB,0.26
101223,0,0,0,6,68,84,91,119,0,0,0,6,63,74,74,76,1.42,CO,1.5
101227,1,6,19,45,98,181,256,1158,0,1,3,11,54,112,125,130,0.11,CS,0.38
101228,0,0,0,0,12,23,35,247,0,0,0,0,6,10,13,30,2.59,CS,3.57
101236,0,0,1,7,61,232,326,361,0,0,1,15,50,68,75,81,0.87,CO,0.99
101242,1,3,22,57,326,1050,1967,6843,0,0,19,45,253,671,831,1057,0.13,CS,0.5
101244,0,0,0,0,1,21,29,182,0,0,0,0,0,12,13,78,4.92,CO,6.03
101253,0,9,25,67,464,1725,3238,4442,0,1,8,19,122,243,386,548,0.27,CO,0.32
101254,1,3,9,31,86,271,558,2830,0,1,4,16,76,87,168,640,0.16,SG,0.5
101261,0,3,7,13,134,404,645,858,2,4,12,25,135,320,457,553,0.26,CO,0.23
101267,1,2,8,21,194,674,850,1084,0,2,9,14,100,241,333,355,0.16,MG,0.45
101268,0,1,1,1,13,49,130,679,0,0,0,0,3,26,33,51,0.44,CS,2.69
101269,1,7,16,55,248,628,1095,2077,0,3,9,34,182,561,947,1637,0.22,CS,0.36
101271,2,4,5,10,12,97,208,974,3,3,3,5,5,74,111,130,0.1,CS,0.05
101291,2,10,34,87,165,304,1112,2301,0,5,16,31,81,84,132,299,0.22,CS,0.35
101292,11,48,196,490,2628,9152,11968,14980,1,3,11,72,269,411,428,428,0.1,CS,0.2
101301,0,1,6,26,93,273,575,2932,0,1,3,14,76,92,181,666,0.45,SG,0.46
101306,0,0,1,3,37,75,111,392,0,0,0,2,21,49,63,208,0.91,CO,1.07
101308,0,2,6,18,152,251,305,379,0,0,4,12,101,166,203,221,0.28,CS,0.63
101310,12,37,129,304,1852,8522,12968,15036,2,8,21,48,129,178,180,180,0.08,MG,0.05
101316,1,3,5,18,77,291,486,3902,0,1,4,22,49,163,292,552,0.21,CS,0.45
101321,0,1,4,39,85,281,312,429,0,1,3,27,59,191,201,221,0.41,CS,0.41
101322,0,0,1,9,17,19,35,217,0,0,0,3,10,10,11,32,0.95,CS,1.12
101323,5,6,14,56,553,1723,3496,6852,0,0,0,28,249,287,454,1371,0.07,CS,1.32
101326,0,1,6,22,38,42,48,319,0,0,1,27,49,52,57,57,0.29,SS,0.93
101333,9,22,47,100,164,309,1148,2301,4,7,16,32,79,84,118,299,0.11,SS,0.15
101339,1,4,4,6,51,121,352,1208,0,1,1,3,14,15,25,100,0.23,CO,0.44
101341,0,6,16,24,53,102,281,908,0,1,5,12,32,33,51,63,0.32,CO,0.48
101343,0,0,3,15,147,577,968,1618,0,0,2,15,94,288,411,573,0.64,CO,0.73
