hhnum,0.25 mi,0.50 mi,1.0 mi,2.0 mi,5.0 mi,10.0 mi,15.0 mi,30.0 mi,0.25 mi_ff,0.50 mi_ff,1.0 mi_ff,2.0 mi_ff,5.0 mi_ff,10.0 mi_ff,15.0 mi_ff,30.0 mi_ff,nearsnap_dist,nearsnap_stype,nearff_dist
104574,0,4,13,50,121,153,160,221,0,0,13,29,98,122,125,131,0.39,CS,0.7
104575,0,4,11,20,52,73,89,198,2,3,12,23,48,52,53,78,0.3,SS,0.18
104588,0,1,8,20,24,61,132,773,0,0,5,10,14,41,71,110,0.44,SG,0.64
104596,3,5,21,86,284,627,790,959,2,3,25,42,110,286,435,439,0.06,SG,0.23
104607,2,5,9,36,142,192,221,493,0,2,9,27,92,118,122,137,0.23,CS,0.4
104609,1,3,13,32,133,442,989,2811,0,1,5,19,115,204,356,869,0.17,CS,0.39
104610,1,1,1,4,16,22,45,279,0,0,0,0,7,8,11,42,0.08,CS,3.96
104613,2,7,34,121,1115,7074,11148,14825,0,14,15,37,230,415,428,428,0.07,MG,0.31
104614,0,0,0,3,8,65,142,694,0,0,0,0,1,14,26,54,1.08,CS,4.84
104625,3,7,27,56,226,448,573,905,0,5,20,31,159,335,447,599,0.06,CS,0.3
104635,0,0,10,25,32,34,47,148,0,0,5,14,17,17,21,31,0.61,CO,0.56
104644,1,2,7,17,85,96,99,108,4,8,9,17,70,89,89,90,0.19,CS,0.07
104656,0,0,0,2,27,73,108,430,0,0,0,0,11,33,59,209,1.58,CS,3.16
104663,0,0,1,3,27,49,107,248,0,0,0,0,8,9,17,51,0.86,CS,2.22
104667,0,0,3,10,18,22,35,193,0,0,0,11,12,12,13,77,0.66,FV,1.42
104668,0,0,0,8,27,57,83,245,0,0,0,2,14,29,29,31,1.58,CS,1.46
104669,1,1,1,10,15,23,33,173,0,0,0,1,4,4,4,29,0.19,CS,1.7
104671,0,0,0,0,22,145,463,4399,0,0,0,2,22,67,147,199,2.12,SM,1.87
104675,0,1,5,14,15,19,44,206,0,0,1,10,10,10,10,22,0.47,CS,0.64
104676,0,0,0,0,3,19,117,1022,0,0,0,0,0,8,70,355,4.93,CO,5.01
104677,0,0,0,2,27,62,82,283,0,0,0,0,16,26,29,31,1.7,CS,3.12
104691,0,1,6,31,186,696,1188,2582,0,0,8,32,155,517,720,736,0.48,SS,0.52
104695,0,2,4,13,33,106,122,327,0,1,3,5,32,50,50,53,0.46,CO,0.46
104697,2,2,7,18,85,96,99,108,6,8,9,17,71,89,89,90,0.13,CS,0.07
104699,0,1,4,22,38,42,49,322,0,0,1,27,49,52,57,57,0.48,SS,0.69
104701,13,26,189,560,2828,9308,12076,14999,0,1,21,102,242,411,428,428,0.08,MG,0.36
104719,0,0,0,0,1,14,38,301,0,0,0,0,0,3,13,30,4.3,CS,5.88
104727,0,0,0,1,20,23,33,185,0,0,0,0,12,12,14,77,1.31,CS,2.49
104730,4,6,13,58,546,1685,3473,6852,0,0,0,28,252,287,448,1371,0.13,MG,1.21
104731,0,0,2,10,29,197,745,2569,0,0,4,13,50,214,498,736,0.66,SM,0.71
104734,0,0,1,1,6,25,66,204,0,0,0,0,0,6,19,30,0.58,CS,6.21
104751,1,3,11,20,21,25,41,510,0,0,2,12,12,12,12,51,0.15,MG,0.66
104757,0,0,0,0,3,10,124,764,0,0,0,0,6,11,151,583,4.59,CS,2.81
104763,0,7,9,233,1039,3625,6089,14769,0,5,6,32,73,126,153,195,0.31,CS,0.29
104768,3,7,12,51,135,603,979,2151,1,3,14,38,95,128,177,215,0.13,CO,0.18
104770,0,0,0,2,7,11,16,150,0,0,0,1,2,9,12,19,1.58,CS,1.98
104773,0,2,11,41,80,89,97,166,0,4,14,25,50,56,56,56,0.34,CO,0.43
104777,1,1,1,1,1,69,136,366,0,0,0,0,0,20,40,72,0.17,CS,5.2
104779,0,0,0,1,7,11,16,153,0,0,0,0,2,9,12,19,1.89,CS,2.28
104784,0,5,16,26,135,331,840,2289,0,8,16,32,71,93,178,319,0.32,CO,0.32
104786,5,15,55,173,953,2279,3194,4937,0,0,14,54,287,790,947,1088,0.09,SG,0.67
104789,2,7,13,26,32,33,35,38,2,5,9,19,19,19,19,19,0.15,LG,0.14
104791,0,2,7,34,237,486,618,914,1,1,32,51,168,380,525,582,0.27,CS,0.19
104792,0,1,9,29,80,208,295,1279,0,0,8,26,54,123,127,130,0.26,CO,0.55
104795,0,4,13,13,13,16,26,37,0,2,5,5,5,5,5,5,0.26,CS,0.48
104801,0,5,8,30,137,194,221,493,0,2,7,30,91,119,122,137,0.34,CO,0.3
104802,0,3,10,30,89,212,554,2401,0,4,17,50,159,338,646,1057,0.3,SM,0.3
104818,0,0,0,1,3,28,36,443,0,0,0,0,0,5,5,19,1.83,CS,5.31
104825,1,3,15,69,299,795,1393,2942,0,1,4,35,142,263,446,869,0.21,CS,0.5
104827,0,2,13,31,84,167,287,1727,0,2,18,23,67,125,227,352,0.43,CS,0.43
104828,0,0,10,42,122,493,867,2118,0,0,9,33,99,124,174,215,0.56,CS,0.8
104838,0,0,0,10,54,125,317,954,0,0,0,8,30,33,51,63,1.34,SG,1.41
104839,3,5,8,20,28,77,274,589,3,3,4,12,20,24,33,69,0.07,CO,0.08
104840,0,0,6,25,31,33,42,148,0,0,4,15,17,17,20,31,0.59,MG,0.78
104850,2,2,7,23,37,42,55,400,0,0,8,28,48,52,57,57,0.22,FM,0.76
104857,0,3,8,10,15,53,325,496,0,6,8,8,10,12,34,67,0.33,SS,0.28
104860,0,0,0,0,12,89,271,668,0,0,0,0,11,36,45,63,3.48,CO,3.51
104863,0,0,0,0,0,0,21,37,0,0,0,0,0,0,16,17,12.68,CS,12.62
104864,2,16,25,70,241,479,597,912,0,5,6,41,160,359,485,588,0.15,CS,0.36
104869,1,1,1,7,35,113,182,1095,0,0,4,7,35,77,93,110,0.05,CS,0.51
104872,0,2,9,19,161,671,2044,4500,0,4,15,24,76,142,162,196,0.38,CO,0.38
104874,0,0,0,4,38,135,417,1169,0,0,0,1,14,18,20,92,1.5,SM,1.59
104877,7,41,123,304,1891,8536,12972,15030,2,5,20,47,129,178,180,180,0.08,CS,0.12
104879,0,0,10,30,92,96,99,108,0,1,4,28,88,89,89,90,0.59,SS,0.31
104881,0,0,0,18,152,558,998,1776,0,0,1,17,62,157,196,196,1.04,CO,0.98
104887,1,7,12,20,114,232,569,1588,0,8,21,22,68,98,196,196,0.24,SS,0.28
104888,1,2,14,45,220,553,666,1244,1,5,12,31,178,453,566,640,0.22,SS,0.2
104898,0,2,15,49,175,265,312,385,0,0,8,38,105,176,209,221,0.47,BB,0.62
104901,0,0,0,0,4,11,66,374,0,0,0,0,5,6,6,95,4.48,SS,4.62
104903,0,0,0,0,18,26,47,187,0,0,0,0,12,13,25,77,3.38,CO,3.48
104904,2,8,16,66,264,544,651,1333,3,5,12,50,169,448,545,640,0.2,SM,0.21
104914,0,1,2,5,5,6,16,366,0,1,3,6,6,6,6,83,0.37,SM,0.36
104917,0,1,5,44,217,643,1014,2360,0,0,4,32,157,431,662,736,0.42,CO,0.52
104921,0,3,3,12,18,45,69,367,0,4,5,8,22,34,35,69,0.4,CO,0.33
104924,0,1,2,4,10,59,92,204,0,0,1,4,14,47,52,78,0.36,SM,0.73
104928,0,1,4,35,86,282,312,429,0,0,3,25,58,191,201,221,0.41,SG,0.62
104929,1,1,3,20,99,154,160,227,0,0,0,5,78,123,124,131,0.1,CS,1.69
104932,0,0,0,0,21,66,164,680,0,0,0,0,21,61,68,80,2.12,SM,2.08
104938,0,0,0,0,2,12,43,125,0,0,0,0,0,5,20,38,3.13,CS,8.76
104941,0,5,7,30,136,194,221,493,0,2,7,30,91,119,122,137,0.33,CO,0.29
104949,0,0,4,20,116,396,728,973,0,0,2,17,100,312,417,439,0.73,CS,0.91
104953,1,13,17,64,271,545,652,1335,0,7,13,39,175,451,546,640,0.24,CO,0.26
104960,0,0,0,0,5,19,153,1021,0,0,0,0,2,8,99,355,4.05,CO,4.13
104966,1,3,10,42,182,714,1136,1889,3,4,6,32,137,525,828,1489,0.19,SS,0.2
104967,0,4,12,23,51,53,73,318,1,5,13,16,23,23,25,83,0.28,CO,0.23
104972,0,0,0,7,70,251,1196,4423,0,0,0,6,35,97,183,199,1.45,CS,1.26
104973,1,1,8,16,98,548,1171,2978,0,1,3,10,48,116,390,869,0.17,CS,0.48
104989,0,0,10,25,32,34,47,148,0,0,5,14,17,17,21,31,0.61,CO,0.56
104990,3,6,7,27,176,563,767,1031,2,2,2,15,87,305,401,439,0.16,CS,0.16
104997,0,0,16,45,116,153,160,222,0,0,11,38,94,123,125,131,0.51,CS,0.61
105000,0,0,11,33,258,816,1226,1992,0,0,9,38,196,568,912,1608,0.55,SM,0.56
105006,0,6,14,23,37,42,52,364,0,8,14,24,48,52,57,57,0.33,SS,0.34
105012,0,2,5,33,240,490,619,911,0,1,25,51,169,389,526,582,0.35,CS,0.34
105015,1,5,16,26,34,41,55,185,0,0,3,7,14,15,16,19,0.23,MG,0.79
105016,0,1,2,4,10,62,91,203,1,2,4,4,15,47,52,78,0.46,CO,0.07
105020,0,0,0,0,7,23,43,189,0,0,0,0,0,6,8,30,3.09,CS,5.84
105023,1,1,9,25,82,207,294,1266,0,1,6,23,58,123,127,130,0.15,CO,0.46
105025,0,0,2,14,18,25,43,125,0,0,0,7,11,11,14,20,0.81,CS,1.36
105028,8,41,108,262,1367,8182,12838,15108,0,8,17,64,146,180,180,180,0.08,SS,0.26
105034,2,3,8,39,170,262,311,383,0,0,2,20,103,171,209,221,0.09,CS,0.56
105055,0,0,0,0,11,19,38,303,0,0,0,0,10,12,12,16,3.73,CS,2.29
105058,0,0,0,0,0,33,61,437,0,0,0,0,0,33,57,71,5.28,CS,5.28
105062,3,6,29,60,138,184,220,499,0,1,6,22,91,115,122,135,0.08,CS,0.46
105070,0,2,10,21,153,253,305,379,0,1,9,12,101,166,203,221,0.43,CS,0.43
105072,0,2,15,40,64,90,125,294,0,0,5,13,37,45,52,53,0.35,CS,0.76
105080,0,0,0,0,25,152,447,4453,0,0,0,3,25,67,138,199,2.02,SM,1.78
105084,0,4,13,21,33,33,34,38,0,0,4,10,19,19,19,19,0.45,CS,0.63
105085,0,5,24,63,171,430,1165,4317,0,0,2,5,87,294,497,552,0.26,CS,0.75
105089,3,3,18,26,42,49,53,104,0,0,9,10,13,14,14,21,0.05,CS,0.72
105093,0,1,14,44,113,153,160,223,0,0,15,43,94,123,125,131,0.41,CS,0.5
105095,0,0,0,1,8,13,30,163,0,0,0,0,0,0,6,30,1.27,CS,12.92
105100,0,0,0,1,48,491,629,845,0,0,0,9,69,413,505,559,1.94,SM,1.22
105101,0,0,3,5,65,181,400,2406,0,0,2,2,61,154,215,215,0.71,SM,0.73
105113,7,16,77,162,669,3517,6037,14728,0,1,3,20,59,131,156,195,0.05,SG,0.25
105120,0,3,10,21,174,652,848,1085,0,5,9,14,82,236,333,355,0.37,CO,0.33
105122,0,0,6,14,15,17,45,213,0,0,8,10,10,10,10,22,0.85,CS,0.69
105123,1,3,15,69,139,2719,7036,14467,0,2,3,7,33,209,428,428,0.05,CS,0.4
105131,1,4,9,51,326,979,1606,2993,0,0,3,22,118,315,565,869,0.09,CS,0.53
105135,0,1,7,13,14,17,24,107,0,1,5,9,11,12,15,29,0.5,CS,0.46
105141,3,7,10,21,26,40,80,278,2,3,5,7,7,7,8,39,0.16,CO,0.2
105142,0,0,0,0,9,11,46,177,0,0,0,0,0,0,13,32,3.19,CO,10.96
105153,1,2,7,17,85,96,99,108,4,8,8,17,70,89,89,90,0.23,CS,0.1
105163,1,1,3,21,98,154,160,227,0,0,0,4,78,123,124,131,0.14,CS,1.65
105167,1,1,3,5,5,12,19,305,0,2,4,7,7,9,14,21,0.2,CO,0.27
105168,0,0,1,7,7,38,217,1939,0,0,0,5,5,32,187,215,0.87,SG,1.02
105175,1,1,9,26,226,674,795,948,0,3,9,18,153,372,434,439,0.24,CO,0.45
105176,0,0,7,24,76,135,222,1723,0,0,6,25,62,103,151,308,0.67,CO,0.56
105177,0,5,9,18,112,231,543,1595,0,1,8,22,65,93,196,196,0.34,CS,0.39
105178,0,0,4,22,73,153,212,405,0,0,2,16,60,122,159,212,0.74,SG,0.64
105181,0,0,0,0,0,77,305,448,0,0,0,0,0,54,189,221,6.57,CS,6.73
105183,1,1,1,5,36,114,182,1085,0,0,4,6,39,79,93,110,0.2,CS,0.63
105201,9,24,84,189,340,1080,2622,6554,6,17,25,38,159,287,298,1247,0.05,SG,0.14
105206,1,1,8,14,139,407,649,858,2,4,12,28,133,322,460,553,0.15,CO,0.12
105211,1,1,7,18,68,87,93,150,0,0,2,18,69,74,74,77,0.13,CS,0.77
105220,0,1,16,46,117,153,160,222,0,0,13,39,94,123,125,131,0.49,CO,0.57
105221,0,0,0,0,4,11,66,374,0,0,0,0,5,6,6,96,4.51,SS,4.65
105222,0,1,13,38,79,85,92,125,0,0,14,37,71,74,74,76,0.46,CS,0.56
105231,0,2,12,54,238,554,665,1249,0,2,9,36,184,459,565,640,0.41,CO,0.47
105235,2,5,9,21,129,752,2142,4541,0,1,11,12,53,148,179,199,0.12,CS,0.33
105237,4,6,8,24,248,419,681,4178,6,8,8,11,41,92,137,185,0.04,SE,0.04
105239,6,23,80,189,338,1076,2611,6544,3,17,24,39,159,287,298,1242,0.03,SG,0.2
105241,0,0,0,1,8,13,30,164,0,0,0,0,0,0,6,30,1.48,CS,12.73
105253,1,5,8,19,28,77,274,588,3,3,4,12,20,24,33,69,0.17,CO,0.19
105255,2,8,25,97,506,786,910,1067,0,4,8,15,143,279,319,345,0.08,CS,0.28
105256,4,4,6,37,267,1334,3079,4403,2,4,5,29,145,273,421,548,0.02,CS,0.05
105259,0,0,10,25,32,34,47,148,0,0,5,14,17,17,21,31,0.61,CO,0.56
105266,0,0,8,37,166,280,311,438,0,0,0,19,102,187,211,221,0.52,CS,1.02
105272,0,0,0,0,8,8,10,41,0,0,0,0,8,8,8,9,3.51,SS,3.47
105275,2,2,3,21,226,612,1088,4491,3,4,12,63,254,687,1016,1057,0.19,CS,0.19
105284,0,0,2,10,32,227,816,2573,0,0,3,14,56,236,555,736,0.91,CO,0.9
105285,0,1,3,3,3,16,68,412,0,0,0,0,0,0,19,51,0.34,LG,11.72
105288,0,0,0,0,2,42,98,164,0,0,0,0,0,30,55,56,3.15,CS,5.38
105292,0,0,1,2,6,25,55,202,0,0,0,0,0,5,15,30,0.99,CS,8.3
105304,0,0,0,0,2,35,70,249,0,0,0,0,0,14,17,54,4.8,CS,5.14
105308,2,15,25,72,235,481,598,914,0,2,6,39,157,357,485,589,0.16,CS,0.41
105309,0,1,20,56,316,1081,2019,6891,1,1,18,45,249,644,831,1057,0.35,CS,0.13
105311,0,1,1,4,52,78,198,424,0,0,0,0,30,50,141,212,0.26,CS,2.04
105325,0,0,13,58,273,963,2452,7519,0,0,7,30,177,187,276,1338,0.67,CS,0.6
105331,0,0,0,2,10,80,129,502,0,0,0,0,4,22,23,39,1.54,CS,3.77
105332,3,6,13,22,93,204,429,1842,4,8,16,27,139,269,525,1057,0.09,CO,0.09
105335,0,0,7,23,139,438,750,982,0,0,4,14,111,332,421,439,0.53,CO,0.56
105344,4,7,21,60,261,554,775,959,0,0,3,16,81,245,414,439,0.1,CS,0.53
105350,0,0,1,1,33,76,109,394,0,0,0,0,11,42,61,208,0.91,CO,2.22
105361,2,8,25,96,503,786,911,1067,0,4,8,13,143,279,319,345,0.1,CS,0.31
105362,0,0,2,7,32,230,533,1274,0,0,1,8,17,52,72,110,0.93,SS,0.81
105364,0,1,5,14,15,19,44,206,0,0,2,10,10,10,10,22,0.43,CS,0.61
105367,0,6,14,18,28,39,60,533,0,4,19,22,25,30,39,99,0.35,CO,0.44
105374,0,1,4,10,16,16,24,68,0,0,3,8,9,9,10,10,0.32,CS,0.82
105377,4,7,14,47,543,1717,3456,6845,0,0,0,17,235,287,455,1372,0.11,CS,1.26
105378,0,0,4,9,18,153,295,359,0,0,1,14,35,60,68,76,0.78,CS,0.9
105380,0,0,2,5,5,6,16,372,0,0,1,6,6,6,6,92,0.81,SS,0.79
105383,0,0,0,14,69,85,91,122,0,0,1,14,68,74,74,76,1.01,CS,0.99
105385,2,3,16,43,232,818,1573,6069,1,4,16,61,225,751,856,1057,0.05,CS,0.14
105386,1,2,6,16,96,538,1159,2961,1,1,3,11,51,118,374,869,0.24,CS,0.24
105392,0,0,2,3,34,202,715,1503,0,0,2,2,18,60,114,130,0.77,SS,0.98
105405,0,0,0,0,0,26,158,813,0,0,0,0,0,2,12,74,5.13,SM,9.61
105407,1,4,12,24,32,33,35,37,2,5,13,19,19,19,19,19,0.21,CO,0.21
105410,0,3,7,20,129,417,735,980,0,2,6,14,98,311,419,439,0.34,CO,0.32
105420,0,0,1,11,86,179,235,502,0,0,1,11,58,115,131,137,0.61,SS,0.66
105421,0,0,10,39,131,560,878,2120,0,0,8,32,100,122,172,215,0.63,CO,0.64
105423,2,3,17,18,18,23,33,204,0,0,9,12,12,12,14,42,0.11,CO,0.59
105424,3,6,26,47,66,90,127,282,2,2,5,19,39,45,52,53,0.23,CS,0.18
105426,0,1,5,11,20,54,70,355,0,0,5,17,22,31,35,69,0.4,CO,0.63
105427,0,2,8,30,268,1030,1795,2982,0,3,10,48,225,470,644,869,0.4,SS,0.29
105433,0,0,0,3,6,7,46,115,0,0,0,0,3,3,22,31,1.93,CS,2.09
105437,0,0,3,15,16,18,36,219,0,0,4,10,10,10,10,32,0.66,CS,0.96
105441,4,10,35,115,810,2007,2932,4641,3,14,43,92,329,661,880,1047,0.12,CO,0.12
105454,0,0,12,21,74,85,91,122,0,0,11,19,70,74,74,76,0.54,SM,0.56
105460,11,45,97,465,3655,10016,12397,15072,0,10,16,81,222,394,428,428,0.08,SG,0.33
105461,1,4,12,29,108,312,786,1971,0,1,11,33,87,237,464,590,0.1,SM,0.34
105468,0,3,10,38,149,273,322,408,0,1,10,26,97,178,217,221,0.35,BB,0.35
105477,4,10,24,93,380,808,1127,1738,7,10,12,31,147,373,520,573,0.11,CS,0.13
105479,0,0,0,0,3,19,78,191,0,0,0,0,5,14,29,35,2.4,SS,4.08
105491,1,2,18,55,190,970,1855,2920,0,0,4,23,169,433,704,869,0.06,CS,0.63
105494,0,0,3,30,95,221,563,2480,2,4,13,49,158,355,673,1057,0.55,SM,0.21
105495,0,1,7,14,53,214,320,366,0,7,15,24,39,63,68,81,0.42,SS,0.33
105500,0,1,6,29,220,674,795,948,0,0,8,19,153,376,434,439,0.41,CO,0.6
105503,1,7,21,57,108,277,545,1614,0,2,7,18,61,139,196,196,0.09,CS,0.44
105522,3,8,18,52,331,981,1650,2996,0,2,9,22,111,327,588,869,0.06,CS,0.29
105523,2,4,17,69,181,289,319,430,1,3,11,38,111,199,216,221,0.2,CO,0.24
105539,0,3,14,27,32,34,48,147,0,1,5,15,17,17,23,31,0.31,CO,0.34
105540,0,0,1,7,41,75,110,391,0,0,0,4,29,49,63,208,0.57,CO,1.06
105554,0,0,0,0,1,8,23,433,0,0,0,0,0,0,6,213,3.39,CS,12.42
105558,0,1,3,8,33,54,106,236,0,0,0,6,8,9,15,47,0.43,CS,1.35
105561,0,0,0,1,19,120,392,4328,0,0,0,0,20,67,136,199,1.13,CS,3.0
105564,0,0,0,9,47,244,650,1706,0,0,0,5,26,62,176,196,1.28,CO,1.26
105566,0,4,10,20,51,74,89,199,0,6,11,23,48,52,53,78,0.32,CO,0.27
105574,8,23,60,166,254,307,465,1513,2,4,8,31,93,122,174,288,0.1,SG,0.17
105576,0,0,4,4,48,189,749,4395,0,0,6,6,32,80,167,199,0.61,SM,0.61
105580,0,0,15,48,173,265,311,385,0,0,7,40,103,176,209,221,0.58,CO,0.58
105588,0,0,0,6,17,19,37,220,0,0,0,2,10,10,12,32,1.27,SG,1.55
105591,1,9,15,38,139,421,824,1929,1,3,6,16,60,201,412,736,0.25,SS,0.24
105592,1,3,9,28,265,1062,1811,2988,3,3,5,46,236,483,649,869,0.17,SS,0.15
105600,0,13,17,64,271,545,653,1335,0,7,13,39,175,452,547,640,0.25,CO,0.29
105603,0,0,2,10,32,227,816,2573,0,0,3,14,56,236,555,736,0.91,CO,0.9
105608,3,5,9,37,143,192,221,493,0,2,9,27,92,118,122,137,0.1,CS,0.34
105610,0,0,0,0,14,23,40,242,0,0,0,0,7,10,13,30,2.56,SG,3.08
105615,2,14,24,74,235,479,598,916,0,2,6,37,160,356,485,589,0.22,CS,0.41
105627,0,3,9,25,135,461,957,1815,0,0,0,2,37,104,177,196,0.32,CO,1.4
105628,0,0,4,8,39,127,419,1234,0,0,1,7,14,18,20,96,0.81,SM,0.93
105632,0,1,4,8,15,98,277,1164,0,0,0,4,5,60,85,110,0.44,MG,1.02
105643,0,10,16,66,265,544,651,1333,2,6,12,42,170,450,546,640,0.26,SM,0.24
105644,0,0,3,11,18,113,285,700,0,0,3,12,12,26,45,52,0.55,CS,0.7
105645,0,0,0,0,1,4,71,132,0,0,0,0,0,0,2,15,2.85,CS,11.59
105649,2,7,23,58,267,559,777,963,0,0,3,15,87,249,416,439,0.11,CS,0.7
105652,0,2,2,31,62,89,123,275,0,4,4,9,33,44,51,53,0.33,CS,0.32
105657,1,1,3,3,12,24,44,148,0,0,0,0,1,4,11,32,0.17,CS,4.17
105669,0,0,0,0,12,18,50,290,0,0,0,0,3,3,3,52,2.08,CS,2.5
105676,5,9,23,69,297,800,1418,2955,2,3,11,35,139,283,466,869,0.12,CS,0.11
105678,17,53,113,280,1542,8285,12894,15092,7,13,23,58,142,180,180,180,0.09,SG,0.14
105680,0,0,1,13,40,98,323,738,0,0,0,8,49,58,79,80,1.0,CO,1.15
105683,1,1,7,21,69,88,93,150,0,0,2,19,69,74,74,77,0.17,CS,0.73
105685,1,2,4,14,114,368,1064,1949,0,0,3,4,49,170,428,573,0.16,CS,0.62
105686,0,2,15,49,232,736,1407,2689,1,5,43,79,211,589,1279,1478,0.48,CS,0.07
105689,4,13,49,168,940,2274,3197,4937,0,0,11,55,284,790,946,1090,0.13,CS,0.62
105690,1,9,21,38,69,139,214,361,0,5,13,37,56,135,168,212,0.23,CO,0.33
105691,5,17,70,146,607,3498,6005,14720,0,1,1,14,61,131,156,195,0.1,SM,0.3
105697,3,5,8,20,28,77,274,589,3,3,4,12,20,24,33,69,0.07,CO,0.08
105704,0,0,0,1,35,97,100,108,0,0,0,1,50,89,89,90,1.42,SS,1.42
105716,0,1,3,42,137,555,1010,1781,1,1,1,23,84,194,196,196,0.25,CS,0.2
105719,0,0,1,12,97,407,773,1066,0,0,2,14,64,163,294,355,0.88,SS,0.81
105724,0,0,0,0,5,31,227,1669,0,0,0,0,0,2,19,196,3.59,CO,8.54
105731,0,9,32,204,997,2515,3259,4921,0,0,10,47,288,745,883,1042,0.32,SG,0.52
105732,0,0,10,25,32,34,47,148,0,0,5,14,17,17,21,31,0.61,CO,0.56
105733,0,0,0,9,79,157,282,1883,0,0,0,14,134,226,364,1057,1.25,CS,1.26
105736,4,6,8,24,248,419,681,4178,6,8,8,11,41,92,137,185,0.04,SE,0.04
105739,2,2,13,44,153,273,322,415,1,1,11,28,100,180,217,221,0.09,BB,0.09
105747,0,0,0,0,0,1,1,53,0,0,0,0,0,0,0,7,6.68,SG,15.92
105753,1,2,10,24,28,87,281,589,0,1,5,18,20,24,34,69,0.2,CS,0.48
105756,0,0,0,0,0,30,155,489,0,0,0,0,0,12,47,69,5.48,SG,7.86
105761,0,1,2,10,86,246,322,366,0,0,0,1,34,63,68,81,0.31,CS,1.91
105763,0,0,0,7,11,40,72,550,0,0,1,6,6,30,47,80,1.11,CS,0.87
105764,0,1,1,6,28,221,476,777,0,0,0,0,0,34,61,80,0.32,CO,6.2
105765,0,1,7,33,176,573,1036,2142,0,0,8,17,148,481,815,1471,0.41,CO,0.71
105769,3,3,8,30,192,579,1201,3001,0,1,4,11,68,252,624,1457,0.03,CS,0.39
105780,0,0,6,17,25,38,107,643,0,0,3,6,12,14,14,93,0.55,SM,0.6
105792,2,8,33,108,1103,6981,11119,14822,1,14,15,40,227,415,428,428,0.1,MG,0.24
105793,1,3,12,32,78,89,95,172,3,6,14,19,48,56,56,56,0.24,SS,0.23
105796,0,0,0,2,34,163,215,404,0,0,0,0,27,121,145,212,1.37,CO,2.16
105799,0,1,4,23,38,42,54,376,0,2,13,30,50,52,57,57,0.45,SM,0.47
105804,0,1,4,39,85,281,312,429,0,1,3,27,59,191,201,221,0.41,CS,0.41
105809,4,5,14,21,21,26,36,248,1,1,13,15,15,22,26,49,0.11,CO,0.11
105812,1,3,14,59,176,1102,3136,7202,0,0,3,31,128,242,727,1575,0.18,MG,0.76
105813,2,5,20,63,171,430,1157,4317,0,0,1,5,87,292,498,552,0.19,CS,0.74
105815,8,32,90,264,1929,7840,12852,15017,0,4,13,30,95,167,180,180,0.04,MG,0.39
105832,0,0,3,30,95,221,563,2480,2,4,13,49,158,355,673,1057,0.55,SM,0.21
105840,5,10,26,64,225,452,573,906,2,6,20,34,160,337,450,599,0.03,CS,0.09
105846,0,1,8,25,172,578,1202,3020,3,3,5,12,56,270,661,1466,0.32,CS,0.18
105856,0,0,1,9,18,156,294,360,0,0,0,12,35,60,67,76,0.52,CS,1.07
105864,4,6,8,24,248,419,681,4178,6,8,8,11,41,92,137,185,0.04,SE,0.04
105874,0,0,0,0,0,18,34,93,0,0,0,0,0,11,13,20,5.99,CS,6.88
105880,0,1,8,25,172,578,1202,3020,3,3,5,12,56,270,661,1466,0.32,CS,0.18
105885,0,1,6,24,46,70,100,445,0,2,5,17,20,20,25,83,0.43,SM,0.48
105892,1,5,9,19,63,146,382,2498,1,3,9,20,56,108,182,288,0.04,CO,0.07
105896,1,1,2,5,5,6,16,366,1,1,3,6,6,6,6,83,0.22,SM,0.23
105905,4,5,11,14,15,17,44,218,5,8,10,10,10,10,10,22,0.02,SM,0.02
105908,0,8,25,66,452,1720,3231,4435,0,1,9,19,123,245,385,548,0.31,CO,0.33
105925,3,8,21,59,261,554,774,959,0,0,3,15,80,246,412,439,0.18,CS,0.65
105933,1,3,11,28,181,584,1184,3007,0,0,5,12,71,247,633,1462,0.21,CS,0.5
105939,0,3,15,53,232,743,1408,2686,1,7,43,80,211,592,1277,1478,0.46,CS,0.09
105940,0,0,6,32,212,567,773,1022,0,0,5,18,108,312,401,439,0.63,MG,0.63
105942,0,5,12,39,79,85,92,125,0,2,12,39,71,74,74,76,0.35,CS,0.44
105946,1,1,1,7,17,57,69,401,0,0,0,5,21,32,35,69,0.22,SM,1.37
105947,0,3,13,38,193,589,1053,2160,0,3,10,16,161,495,832,1472,0.32,BB,0.41
105950,12,67,185,471,3120,7819,11467,14899,7,7,15,30,221,428,428,428,0.09,SG,0.11
105952,0,0,0,1,15,26,34,187,0,0,0,0,11,13,14,77,1.7,CS,3.68
105954,1,4,12,47,241,561,665,1255,0,2,9,36,189,461,566,640,0.21,SS,0.27
105956,0,0,8,29,149,507,1013,1800,0,0,1,11,48,109,190,196,0.57,CS,0.66
105957,0,0,0,0,22,94,204,782,0,0,0,0,6,9,24,52,2.27,DR,2.86
105962,0,0,0,0,0,48,238,562,0,0,0,0,1,22,24,69,5.04,CS,4.91
105965,1,1,7,8,10,37,69,516,3,4,6,6,6,26,43,80,0.08,CO,0.13
105973,2,2,7,18,85,96,99,108,6,8,9,17,71,89,89,90,0.12,CS,0.07
105983,2,8,21,58,266,557,777,964,0,0,3,15,83,248,415,439,0.09,CS,0.63
105985,0,1,3,12,57,221,321,366,0,0,8,24,38,63,68,81,0.46,SS,0.7
105994,1,1,2,5,5,6,16,366,1,1,4,6,6,6,6,83,0.19,SM,0.2
